,question
507,A fish's stream-lined body that reduces water resistance is an example of what kind of response to an aquatic lifestyle?
508,Emissions of what gas into the atmosphere from fossil fuel burning have been rising for the past several decades?
509,Gymnosperms have seeds but do not have what?
510,Modern members of what broad animal group live in many different habitats and are found on every continent except antarctica?
511,The right ventricle pumps what type of blood toward the lungs?
512,Some 96% of the dry mass consists of organic compounds produced by what?
513,What is it called when something is unable to move from place to place?
514,What waves are the broad range of electromagnetic waves with the longest wavelengths and lowest frequencies?
515,What are the two main types of sedimentary rocks?
516,Light waves which interfere with themselves after interaction with a small aperture or target are said to what?
517,"Distance traveled divided by time yields what measurement, which is another word used to describe the speed of a chemical reaction?"
518,"Beryllium, magnesium, calcium, strontium, and barium are classified as what type of metals?"
519,"Common among mammals and insects, pheromones are often related to what type of behavior?"
520,Neutron stars are the corpses of left over what?
521,"In recent years, however, researchers have discovered that microsporidia actually have tiny organelles derived from what?"
522,The negative logarithm of the hydroxide-ion concentration of a solution is called?
523,What is the greatest contribution of arthropods to human food supply?
524,What kind of weather change do la nina years usually bring?
525,"In physics, _______ is defined as the average kinetic energy of the particles in an object?"
526,What are proteins encoded by?
527,"In alcoholic fermentation , which acid changes to alcohol and carbon dioxide?"
528,What is another term for scale worms?
529,What type of device do scientist use to determine wind speed?
530,Which constellation looks like a rectangle high in winter's south-southeastern sky?
